idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
47900,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,21.0000,21.00000000,5678.4336
47901,20224,SPC Roble Monaco 1102 (Max Core 2da Gen) 4.5 mm (0,5.0000,9.15000000,39764.3815
47901,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,0.5000,0.50000000,3440.0695
47903,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,34.0000,34.00000000,8806.3944
47903,14168,Flotante Kronotex Montana Larche (Pinotea) D-3068,22.0000,46.86000000,118376.6364
47905,20522,Flotante Superior Roble Trend Brown D-3128 Advance,11.0000,23.43000000,53940.7649
47905,18801,Mantos Erze 3mmx0.80mmx1.25 mm - -,20.0000,20.00000000,4792.6640
47907,19561,Porcelanato Blanco Atelier -,59.0000,99.12000000,325330.2421
47908,19561,Porcelanato Blanco Atelier -,59.0000,99.12000000,268852.2561
47909,19810,SPC Roble Munich (2319) 4 mm (0.3 wl) -,2.0000,5.40000000,17982.8800
47914,20028,SPC Roble Salzburgo 2316 4 mm (0.3 wl) -,1.0000,2.70000000,9014.1400
47916,20227,SPC Roble Polonia 1106 (Max Core 2da Gen) 4.5 mm (,1.0000,1.83000000,6797.5400
47917,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,9025.1702
47917,21681,SPC Surinda 2207 4 mm (0.5 wl) -,13.0000,34.32000000,101322.2210
47926,20789,SPC Roble Harbour 8884 (Max Core 2da Generacion) H,14.0000,36.96000000,61200.2524
47926,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,14.0000,36.96000000,40844.6556
47926,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,68.0000,68.00000000,10246.8180
47928,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,21.0000,74.34000000,235414.0278
47928,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,4.0000,4.00000000,23058.5440
