idComprobante,idArticulo,Descripcion,Unidades,MetrosCuadrados,ImporteMetrosCuadrados
48059,200135,SPC Oferta ORGW102-13 6 mm -,11.0000,29.15000000,83077.5000
48068,200129,SPC Oferta ORGW354-10 4 mm -,12.0000,29.16000000,56509.7940
48068,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,5970.5417
48075,200162,"SPC Oferta JMW035 4,5 mm -",7.0000,15.26000000,35687.8200
48075,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,7261.1600
48077,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,2.0000,5.28000000,14819.2330
48089,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,2.0000,2.00000000,14522.3200
48089,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,11.0000,38.94000000,155324.4000
48090,20884,SPC Oferta Truffle Oak 4 mm (0.3 wl) -,5.0000,13.20000000,32825.9670
48090,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.0000,1.00000000,6433.6488
48095,200171,SPC Oferta ORGW179-3 6 mm -,6.0000,13.26000000,27766.2342
48096,19400,LVT Roble Puma CLT-985 Chalet Clic -,1.0000,2.63000000,8985.0633
48098,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10030.2033
48098,200162,"SPC Oferta JMW035 4,5 mm -",14.0000,30.52000000,65729.8264
48100,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,3.0000,3.00000000,17147.9556
48100,21656,SPC Oferta 6172-1 4.2 mm (0.4 wl) -,34.0000,74.80000000,165269.4270
48103,20839,SPC Oxido 5083 (Max Core 2da Generacion) Home (4mm,1.0000,2.64000000,8700.5965
48104,19814,SPC Roble Niza 4 mm (0.3 wl) / Bisel -,51.0000,96.39000000,372904.5030
48104,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,4.5000,4.50000000,31691.6960
48106,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,1.5000,1.50000000,10891.7250
48106,21162,SPC Oferta 014 4 mm (0.3 wl) -,13.0000,28.21000000,84415.7600
48109,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,10.0000,35.40000000,141204.0000
48110,21099,SPC Roble Greenland 4 mm (0.3 wl) -,3.0000,6.15000000,17854.5262
48112,200172,SPC Oferta 364L-3 - -,1.0000,3.53000000,8238.8100
48116,20811,LVT Oferta JMW50908 Milano 4.5 mm (0.25 wl) -,17.0000,29.75000000,108408.1888
48116,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,25.0000,25.00000000,8997.2787
48118,200116,SPC Oferta ORGW217-10 4.7 mm -,2.0000,6.62000000,14000.4306
48126,19815,SPC Estrasburgo 4 mm (0.3 wl) / Bisel -,3.0000,10.62000000,42361.2000
48130,20880,SPC Oferta Dune Oak 4 mm (0.3 wl) -,120.0000,316.80000000,734885.7608
48130,19768,Mantos EVA 1.5 mm (1 rollo 20m2) -,15.0000,15.00000000,90020.2502
48131,200118,SPC Oferta CD196-06 - -,1.0000,3.66000000,8600.2500
48136,19767,Mantos IXPE 1.5 mm (1 rollo 20m2) -,2.5000,2.50000000,14928.9450
